worker,n_total,precision_real,error_real,phi,marcada_panel,ret,tipo,loo
A11M3WJ9A9KH6A,215,0.9255813953488372,0.07441860465116279,0.00037536095990223597,False,,sana,-0.0003512563858772966
A11SLRXUNTJBJN,523,0.9751434034416826,0.0248565965583174,0.021640242243536268,False,1.243884442589145,(a) sin potencia,0.0010132441907978462
A1K96S33FDRUJW,756,0.9378306878306878,0.06216931216931221,0.021584865457720932,False,1.3749564526628961,sana,0.0019163039516660318
A1PX8UYPRGZCO9,1343,0.8935219657483247,0.10647803425167535,0.006866043189225639,False,0.21937496031848955,sana,-0.0005817156865371431
A1WCS9A1G451ET,133,0.8045112781954887,0.19548872180451127,-0.002607252485977865,False,,sana,-0.00025990445953805175
A26T0QJQ6I109E,134,0.9626865671641791,0.03731343283582089,0.017794247437495622,False,1.1979465976810808,(a) sin potencia,0.0006222268776729378
A2RD52WSOW2N9V,423,0.9243498817966903,0.07565011820330969,0.00949747078361539,False,0.9692416660762889,(a) sin potencia,0.0004843563918444094
A2YTQZXX709TKL,593,0.9443507588532883,0.05564924114671166,0.03443950863231409,False,1.4140935493649447,(a) sin potencia,0.013653493245032955
A32U6TE5GJV6FS,819,0.9560439560439561,0.04395604395604391,0.035730947926600545,False,0.9069552380738597,(a) sin potencia,0.012925404394264706
A3EGTD5X91JG0H,212,0.7924528301886793,0.2075471698113207,-0.0024819452531368988,False,1.0307583339237112,(a) sin potencia,-0.0008402162037438043
A3HKZTDVORNEZ,178,0.9213483146067416,0.0786516853932584,0.004388864668815663,False,0.36226891175162357,(a) sin potencia,-0.00041048943698562823
A3OVORVFL0XDTW,439,0.9430523917995444,0.056947608200455635,0.02687890791612809,False,0.9389486000600892,(a) sin potencia,0.012536914139780753
ABICTZWG5DU3G,133,0.9172932330827067,0.08270676691729328,0.03145984251539755,False,1.1290157870312212,(a) sin potencia,0.011794624537361353
AO7W3AV3GOAEY,227,0.9251101321585903,0.07488986784140972,0.012899511704762622,False,0.9337410948941547,(a) sin potencia,8.062569749611725e-06
AOCJFXTIP7H3A,215,0.9069767441860465,0.09302325581395354,0.02829965590538678,False,1.133903171871481,(a) sin potencia,0.00892517080633326
AWAFCJJRHVAJJ,2944,0.9164402173913043,0.08355978260869568,0.010749353328447273,False,0.4519308772689419,sana,-0.0010815919405685048
