fuente,n_eval,n_pos_val,prev,lift_out,lift_self,lift_cross,se_lift,ret,se_ret,ret_self,ret_cross,dañina,sin_poder,tipo
A11M3WJ9A9KH6A,182,0,0.0,,,,,,,,,False,False,sana
A11SLRXUNTJBJN,415,10,0.12530120481927712,0.4842066360667914,0.5427606408417025,0.2358315805263635,0.07483849319519566,1.243884442589145,0.19225353487199337,1.394304552859496,0.605830676900282,False,True,(a) sin potencia
A1K96S33FDRUJW,602,21,0.15448504983388706,0.5352290099363602,0.4785941417596375,0.2597358705777504,0.052016022879496825,1.3749564526628961,0.13362460735924767,1.2294664362406615,0.6672387045712558,False,False,sana
A1PX8UYPRGZCO9,1070,10,0.029906542056074768,0.08539604479014057,0.11294905989608604,0.19964878347475684,0.04207382419297942,0.21937496031848955,0.10808396964361061,0.2901562431094625,0.5128802400631346,False,False,sana
A1WCS9A1G451ET,108,0,0.0,,,,,,,,,False,False,sana
A26T0QJQ6I109E,109,1,0.05504587155963303,0.46632442081471204,0.3095238095238095,0.2457029703471847,0.19912319492012517,1.1979465976810808,0.5115300490958653,0.7951395594348772,0.6311894128411885,False,True,(a) sin potencia
A2RD52WSOW2N9V,332,0,0.02710843373493976,0.3772965000588775,,0.16125052299398718,0.16300433300054373,0.9692416660762889,0.4187438560136302,,0.4142384717005743,False,True,(a) sin potencia
A2YTQZXX709TKL,477,12,0.129979035639413,0.550463899360714,0.35731397610015,0.2865754605155765,0.074587452329802,1.4140935493649447,0.19160863287425575,0.9179083120400229,0.7361872605851161,False,True,(a) sin potencia
A32U6TE5GJV6FS,655,17,0.10687022900763359,0.35305027529470595,0.5546023076292549,0.28244988284354267,0.07029499120660591,0.9069552380738597,0.1805816761705359,1.4247247577765745,0.725589012852245,False,True,(a) sin potencia
A3EGTD5X91JG0H,160,15,0.29375,0.4012430804489636,0.42584309481368304,0.18446758278349767,0.07790684317488969,1.0307583339237112,0.2001358572522956,1.0939536164260415,0.47388106501449684,False,True,(a) sin potencia
A3HKZTDVORNEZ,147,2,0.027210884353741496,0.14102034329307056,0.5151351351351352,0.06500964920751175,0.100364896539274,0.36226891175162357,0.2578286295317343,1.3233370480640503,0.16700409545037126,False,True,(a) sin potencia
A3OVORVFL0XDTW,355,18,0.17464788732394365,0.36550432460460325,0.6092543237505024,0.23773677146806932,0.07161378165753313,0.9389486000600892,0.1839695333429791,1.5651210009209449,0.6107249455782163,False,True,(a) sin potencia
ABICTZWG5DU3G,109,2,0.14678899082568808,0.43949173861100854,0.6052631578947367,0.2947135896737891,0.12304697326221042,1.1290157870312212,0.31609689819995257,1.5548680453726547,0.7570934016779147,False,True,(a) sin potencia
AO7W3AV3GOAEY,173,1,0.05202312138728324,0.3634772001609137,0.1229235880398671,0.2045466106889227,0.13540709051606845,0.9337410948941547,0.3478489569605246,0.31577993236948615,0.5254623292382823,False,True,(a) sin potencia
AOCJFXTIP7H3A,172,10,0.12209302325581395,0.4413942498826666,0.3498948330075635,0.3233793341175194,0.11110685054378089,1.133903171871481,0.2854237686189466,0.8988491831830239,0.8307331886879256,False,True,(a) sin potencia
AWAFCJJRHVAJJ,2386,7,0.013411567476948869,0.17592303780375132,0.06745718067387162,0.2945718776810956,0.06143131168927432,0.4519308772689419,0.157811659746837,0.1732915894394716,0.7567293559794261,False,False,sana
