condicion,n_limpias,phi_min,phi_min_en_SE,phi_medio,n_neg_cruda,n_neg_significativa,max_desv_abs,rho_rangos
C0_limpio,15,0.01657521448176427,3.6869695904618136,0.050429588971404114,0,0,0.0,1.0
C1_bal_0.50,15,0.015179288615855711,3.3723415064733286,0.05919874193162626,0,0,0.017465523780876298,0.9785714285714284
C2_bal_1.00,15,0.023487417831057712,4.955396185884283,0.07433671234276727,0,0,0.04536966518057191,0.932142857142857
C3_rand_0.50,15,0.026148513638204127,6.082184214357478,0.061235471754600396,0,0,0.03748728519825251,0.8928571428571428
