,phi,se,loo,lift_out,lift_self,ret,asimetria,frac_neg,marcada_panel,trivial,condicion,corrompida
63,0.03395587507596884,0.003588943520984854,0.0046645583140644264,0.5108213123097591,0.4248223324079219,0.9859269519572122,0.9750133443239871,0.022222222222222223,False,False,C0_limpio,False
73,0.030961651541383525,0.0044033839009474125,0.00021962009646858682,0.525404163209908,0.5644373953162493,1.0140730480427878,0.9774178145286287,0.08888888888888889,False,False,C0_limpio,False
140,0.010951250239501631,0.002179046669895386,0.001935179536832754,0.6084828405192216,0.5683723299848837,1.1744216966178476,0.9312560809313086,0.08888888888888889,False,False,C0_limpio,False
182,0.012970617006213998,0.0029928305960228146,0.0009933625638018917,0.1511328006972499,0.035551753684126906,0.29169867807285244,0.3654402550444999,0.3333333333333333,False,False,C0_limpio,True
184,0.03155900714402496,0.004748939711976094,0.00288455088770323,0.5465424578713788,0.34952837256305397,1.054871687259547,0.9928568269974658,0.022222222222222223,False,False,C0_limpio,True
188,0.012455839042204743,0.0026332519692293995,0.0007024399671369252,0.43651197158580735,0.40654797278953475,0.8425038409075912,0.7527874652586825,0.17777777777777778,False,False,C0_limpio,False
227,0.03511613967349734,0.0051110059239215895,-4.806472327756328e-05,0.6205169051049222,0.7023354043570796,1.1976484264560914,0.9902279105230508,0.1111111111111111,False,False,C0_limpio,False
244,0.015766499307080357,0.0021416137304975697,0.002832449240115942,0.407140340893701,0.29421271937425203,0.7858141891165532,0.926189497067656,0.06666666666666667,False,False,C0_limpio,False
275,0.0439414964274588,0.00631686831739281,0.0029822474607644756,0.683707542795728,0.5343850238051798,1.3196115304014284,1.0,0.0,False,False,C0_limpio,False
280,0.02322637375605587,0.003085749090755315,0.004156865301049639,0.4237004060411049,0.0945881780261582,0.8177764705671208,0.9643174378359433,0.022222222222222223,False,False,C0_limpio,False
281,0.024642356209540618,0.0038888361835048126,0.0012830983760893089,0.43977190082695394,0.2342133796465873,0.8487957712222975,0.9804430349200315,0.13333333333333333,False,False,C0_limpio,True
301,0.019591672610815875,0.002833817704942834,0.0040054568849251515,0.5700708779574035,0.5357722689436935,1.1002834642171153,0.9170206301876759,0.08888888888888889,False,False,C0_limpio,False
328,0.0077503001353351674,0.002102078670620226,-0.00160273569854541,0.5299560921693771,0.5583333333333333,1.022858643585469,0.8913842143641427,0.4444444444444444,False,False,C0_limpio,False
382,0.02719245511609465,0.003696301179086308,0.002941904658316896,0.29284952946397563,0.19390480129584634,0.5652235664580849,0.9987788252453191,0.022222222222222223,False,False,C0_limpio,True
392,0.010515495745624872,0.002001925652200985,-0.001846568729568232,0.45584942322639505,0.355812886207161,0.8798267056651672,0.7840418583061177,0.37777777777777777,False,False,C0_limpio,False
394,0.01751845780205917,0.003119187578149001,0.0022167348377045704,0.4806002406985679,0.24043954826900904,0.9275978096515082,0.9155752611539063,0.2,False,False,C0_limpio,True
397,0.026282938784483848,0.003916116754684742,0.0010512770750826794,0.6823255530084191,0.36325192917104676,1.31694417697313,0.9649355619837601,0.15555555555555556,False,False,C0_limpio,False
420,0.014197668559954866,0.002426289076497169,-0.0005864194678523171,0.5378168923240333,0.4558524057926255,1.0380306314208654,0.9180111360055869,0.24444444444444444,False,False,C0_limpio,False
449,0.03302450550962296,0.003939033820277132,0.00512560615284785,0.5019715225132662,0.6003515562892768,0.9688461331478603,1.0,0.0,False,False,C0_limpio,False
452,0.03596310149908063,0.005074466755442032,0.002093578456183187,0.6080399101366502,0.45552514726677695,1.1735668047182841,0.9832276780798997,0.13333333333333333,False,False,C0_limpio,False
63,0.03184150621492145,0.003341752229657175,0.002570704994352302,0.5032611727384817,0.4248223324079219,1.0068592457421828,0.9707334260913343,0.044444444444444446,False,False,C1_bal_0.50,False
73,0.028875706886335565,0.003990273240974335,0.0016914527739064766,0.5163844058916592,0.5644373953162493,1.0331144971902682,0.9324014790517299,0.17777777777777778,False,False,C1_bal_0.50,False
