,n_eval,n_pos_val,prev,lift_out,lift_self,lift_cross,se_lift,ret,se_ret,ret_self,ret_cross,dañina,sin_poder,tipo
cleveland,242,28,0.45867768595041325,0.7846266218959278,0.78116510694353,0.5853013806477803,0.04075954453433592,1.1922488631536992,0.06193458044579354,1.1869890527526532,0.8893719461027482,False,False,sana
hungarian,234,21,0.358974358974359,0.6955769414966253,0.6700817295508502,0.5436604532847322,0.05725268205512498,1.056936885128117,0.08699608602087022,1.0181966275202825,0.8260980946633245,False,False,sana
switzerland,98,23,0.9387755102040817,0.6206358830984987,0.6720392906878582,0.5160399979361071,0.19408407668140598,0.9430631148718833,0.2949129093026541,1.0211711634014538,0.7841285061097084,False,True,(a) sin potencia
va,159,30,0.7484276729559748,0.39751979531449955,0.0917574858638166,0.7258409589554079,0.13318949920187648,0.6040357423759024,0.20238292275088032,0.1394265184918584,1.1029233956578133,False,True,(a) sin potencia
