,phi_exacto,phi+2SE,phi<0,panel_dañina,panel_tipo,loo<0
cleveland,0.10203117590982927,0.13626571063448215,False,False,sana,False
hungarian,0.07017516906307954,0.10515682757419766,False,False,sana,False
switzerland,0.07857503497376332,0.10304866455613783,False,False,(a) sin potencia,False
va,0.07438064845316517,0.1170668915532388,False,False,(a) sin potencia,True
