,phi,se,loo,ret,ret_cross,tipo,dañina,phi_2se
cleveland,0.10203117590982927,0.01711726736232644,0.020701820718835418,1.1922488631536992,0.8893719461027482,sana,False,0.13626571063448215
hungarian,0.07017516906307954,0.01749082925555906,0.0017697298301608821,1.056936885128117,0.8260980946633245,sana,False,0.10515682757419766
switzerland,0.07857503497376332,0.012236814791187255,0.013372611869507334,0.9430631148718833,0.7841285061097084,(a) sin potencia,False,0.10304866455613783
va,0.07438064845316517,0.021343121550036818,-0.0123719222866856,0.6040357423759024,1.1029233956578133,(a) sin potencia,False,0.1170668915532388
