estrategia,auroc,ap,k,contexto,d_auroc,d_auroc_lo,d_auroc_hi,d_ap,d_ap_lo,d_ap_hi
completo,0.93042071197411,0.9315845644760927,0,False,0.0,0.0,0.0,0.0,0.0,0.0
guiada,0.93042071197411,0.9315845644760927,0,False,0.0,0.0,0.0,0.0,0.0,0.0
heur_menor_tamaño,0.91458622283865,0.9222745829077136,1,True,-0.016014966056948635,-0.037024710474006524,0.0012840306557628746,-0.009797062664619988,-0.034002744539178106,0.012065797744491855
heur_mas_ausentes,0.9257975034674064,0.9256757207965142,1,True,-0.00502646034213017,-0.02377547164532729,0.011722694879514625,-0.0053707694210173695,-0.026845157871441473,0.010980615380673343
aleatoria,0.9201918631530283,0.9239751518521139,1,True,-0.010520713199539405,-0.022467019871869876,-0.0007557692434285929,-0.00758391604281868,-0.018663717818801613,0.0037108420951846247
