fuente,n_eval,n_pos_val,prev,lift_out,lift_self,lift_cross,se_lift,ret,se_ret,ret_self,ret_cross,dañina,sin_poder,tipo
54,452,66,0.5199115044247787,0.23517294256593027,0.2054836233252036,0.1359323257319905,0.061445152106297626,1.0331512520677342,0.2699380938107566,0.9027214627734315,0.5971718131949356,False,True,(a) sin potencia
206,341,42,0.49266862170087977,0.14811849538393349,0.04676007491318146,0.07682454841341638,0.06308827461606933,0.650707548626256,0.27715658612432453,0.20542426954491497,0.3375021697515554,False,True,(a) sin potencia
273,345,31,0.5130434782608696,0.20230265103823208,0.07253419913744966,0.12576894401775737,0.058281535121662766,0.8887469576062138,0.256039833181467,0.31865399921837323,0.5525224992528842,False,True,(a) sin potencia
335,234,34,0.4700854700854701,0.13994016548221397,0.1021454869020178,0.06619582022397556,0.0758398451798492,0.6147788755161863,0.3331762155513188,0.44874098412194,0.29080851648942524,False,True,(a) sin potencia
430,248,37,0.5806451612903226,0.28651616398573954,0.16865851701339707,0.12224664568622423,0.07979412331642088,1.258709995842842,0.3505479733872688,0.7409430529000072,0.5370484957741066,False,True,(a) sin potencia
458,255,38,0.5294117647058824,0.19908512028134456,0.011345791094323139,0.024780334473114684,0.0673195896590753,0.8746118454042101,0.2957454101058465,0.04984382194185746,0.10886385699059851,False,True,(a) sin potencia
467,218,28,0.518348623853211,0.2335567479042392,0.10611450866748122,0.15460901103622743,0.08514222464549362,1.0260510579718798,0.37404301292723446,0.4661775130088592,0.6792213916711581,False,True,(a) sin potencia
510,226,39,0.5796460176991151,0.3438217687805249,0.13456224679470144,0.1736583111645303,0.0764615991615152,1.5104624155653326,0.3359076773327108,0.5911528436908441,0.7629079249255212,False,True,(a) sin potencia
545,377,52,0.5278514588859416,0.22169690850910498,0.03618581768109263,0.11345247451209138,0.05883218622096463,0.9739489420281204,0.2584589289604668,0.1589699156561545,0.49841433633246013,False,True,(a) sin potencia
598,216,22,0.5185185185185185,0.3276350223776809,0.016869248679878934,0.09301701252859451,0.0735267019034028,1.4393515252965134,0.32301421797541713,0.07410922874417346,0.4086381788184493,False,True,(a) sin potencia
