worker,n_total,tasa_error_real,phi,marcada_panel,ret,tipo,loo
54,571,0.11208406304728546,0.01858254254934496,False,1.0331512520677342,(a) sin potencia,0.006482157646744757
206,433,0.11778290993071594,0.005376172807865962,False,0.650707548626256,(a) sin potencia,0.00022307523850606525
273,428,0.0911214953271028,0.01387132265435433,False,0.8887469576062138,(a) sin potencia,0.002295659256716709
335,300,0.09666666666666666,0.005430363915891551,False,0.6147788755161863,(a) sin potencia,0.001916553810154542
430,303,0.1254125412541254,0.014700659456527203,False,1.258709995842842,(a) sin potencia,0.003016599585001223
458,331,0.1299093655589124,0.0024940200413745284,False,0.8746118454042101,(a) sin potencia,-0.0009440157215744316
467,273,0.10989010989010989,0.01577701258017782,False,1.0260510579718798,(a) sin potencia,0.0026754472510810423
510,282,0.10283687943262411,0.02100169015809578,False,1.5104624155653326,(a) sin potencia,0.004417353711049565
545,473,0.1014799154334038,0.011211515261381266,False,0.9739489420281204,(a) sin potencia,0.004406869977918171
598,259,0.09652509652509653,-0.0013585750110717742,False,1.4393515252965134,(a) sin potencia,-0.008423614108420963
