estrategia,auroc,ap,k,contexto,d_auroc,d_auroc_lo,d_auroc_hi,d_ap,d_ap_lo,d_ap_hi
completo,0.5772908017075026,0.6266643306612925,0,False,0.0,0.0,0.0,0.0,0.0,0.0
guiada,0.5807774399157944,0.6277383593075384,1,False,0.0037013921321766797,-0.004098100392570239,0.011458335950817817,0.0013107774655007594,-0.006059776505083444,0.009737408479841756
heur_menor_tamaño,0.5785918952108063,0.6274093981181472,1,False,0.001513232951855054,-0.007111205240385881,0.008374688067453749,0.0008597250107387252,-0.007681790654855872,0.01110603842893599
heur_mas_ausentes,0.5712239050347933,0.6251448140185186,1,False,-0.006069568369586978,-0.016660178013791802,0.004659638794254179,-0.0017488176559604888,-0.012799423902645218,0.008499365129742519
aleatoria,0.5796093795684463,0.6238642764885997,1,False,0.00242222359371788,-0.0013567738058996343,0.006372631885747626,-0.002463987976932364,-0.006901805336282763,0.0030925984992139317
